site,date,transect,direction,species,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,notes,id_notes
selja_grave,7/7/2022,8,SE,rhinanthus_minor,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,lotus_corniculatus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,galium_saxatile,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,potentilla_erecta,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,conopodium_majus,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,empetrum_nigrum,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,trifolium_repens,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,pteridium_aquilinum,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,ranunculus_acris,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,lathyrus_pratensis,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,originally Lotus pratense
selja_grave,7/7/2022,8,SE,linnaea_borealis,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,vaccinium_vitis-idaea,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,picea_abies,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,lonicera_periclymenum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,vaccinium_uliginosum,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,filipendula_ulmaria,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,trientalis_europaea,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,erica_tetralix,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,dactylorhiza_maculata,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,cornus_suecica,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,blechnum_spicant,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,knautia_arvensis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,narthecium_ossifragum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,polygala_vuglaris,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,vicia_cracca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,8,SE,geranium_sylvaticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,6,NE,potentilla_erecta,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,6,NE,galium_saxatile,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
selja_grave,7/7/2022,6,NE,oxalis_acetosella,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
